,StaffID,Name,Date of Birth,Gender,Job Title,Employment Date,Experience_Years
0,1,James Garcia,1960-08-26,Male,Therapist,2023-07-27,2.294318959616701
1,2,Linda Garcia,1957-10-03,Male,Therapist,2012-08-06,13.264887063655031
2,3,Jane Smith,1984-09-02,Female,Administrator,2015-05-20,10.480492813141684
3,4,William Williams,1977-01-04,Other,Therapist,2015-12-16,9.905544147843942
4,5,Jane Miller,1989-06-20,Female,Nurse,2016-01-19,9.81245722108145
5,6,Jane Rodriguez,1961-04-12,Male,Administrator,2021-06-15,4.407939767282683
6,7,Mary Rodriguez,1979-12-13,Female,Administrator,2018-01-26,7.79192334017796
7,8,James Miller,1965-11-29,Other,Administrator,2015-12-16,9.905544147843942
8,9,Patricia Jones,1988-04-28,Female,Therapist,2014-12-03,10.940451745379876
9,10,Jane Smith,1966-08-18,Other,Caregiver,2019-04-27,6.543463381245722
10,11,James Davis,1960-05-29,Female,Nurse,2010-09-06,15.181382614647502
11,12,Jane Jones,1972-03-20,Other,Administrator,2018-05-26,7.4633812457221085
12,13,Robert Rodriguez,1983-05-01,Female,Caregiver,2018-03-26,7.630390143737166
13,14,Patricia Jones,1966-06-16,Other,Caregiver,2011-12-17,13.902806297056811
14,15,Sarah Brown,1957-06-21,Female,Therapist,2011-05-22,14.47501711156742
15,16,Michael Brown,1964-02-05,Other,Nurse,2014-04-03,11.60848733744011
16,17,Jane Wilson,1956-08-20,Other,Nurse,2018-01-14,7.824777549623546
17,18,Linda Smith,1961-04-02,Male,Doctor,2011-08-31,14.198494182067078
18,19,Michael Johnson,1953-03-02,Other,Doctor,2014-05-31,11.449691991786448
19,20,John Garcia,1981-12-24,Other,Caregiver,2022-05-03,3.5263518138261465
20,21,Robert Miller,1989-05-02,Other,Doctor,2011-09-25,14.130047912388775
21,22,Jane Wilson,1960-11-15,Other,Doctor,2019-03-05,6.6885694729637235
22,23,Patricia Brown,1952-04-08,Other,Caregiver,2018-01-02,7.857631759069131
23,24,Robert Smith,1964-07-07,Other,Caregiver,2015-10-19,10.064339493497604
24,25,John Johnson,1970-10-21,Male,Administrator,2018-07-16,7.323750855578371
25,26,William Wilson,1975-11-06,Male,Administrator,2013-07-22,12.306639288158795
26,27,Sarah Jones,1982-11-10,Female,Administrator,2017-01-23,8.799452429842573
27,28,Michael Miller,1955-04-28,Other,Therapist,2016-11-19,8.97741273100616
28,29,Mary Jones,1972-02-05,Other,Administrator,2023-04-20,2.5626283367556466
29,30,Sarah Garcia,1984-01-15,Other,Caregiver,2015-04-21,10.559890485968515
30,31,Linda Davis,1971-08-07,Other,Nurse,2013-10-23,12.05201916495551
31,32,Sarah Jones,1984-10-17,Other,Caregiver,2011-03-27,14.628336755646817
32,33,Michael Williams,1982-08-15,Female,Administrator,2017-11-19,7.9780971937029435
33,34,Patricia Wilson,1953-09-18,Other,Therapist,2010-07-26,15.29637234770705
