StaffID,Name,Date of Birth,Gender,Job Title,Employment Date
1,한다은,1990-01-13,Female,물리치료사,2010-06-27
2,조재훈,1978-07-20,Male,요양사,2021-10-04
3,신은정,1991-03-25,Male,사회복지사,2016-11-10
4,안하은,1973-10-27,Male,물리치료사,2010-09-26
5,김민지,1976-11-29,Male,간병사,2022-05-28
6,장영준,1990-03-03,Male,간병사,2015-03-26
7,장은정,2002-02-27,Male,요양사,2020-03-19
8,장영준,1967-12-19,Female,관리자,2010-03-23
9,양은정,1976-11-02,Male,물리치료사,2021-07-06
10,신재훈,1974-10-22,Male,간호사,2017-09-04
11,장상희,1988-05-01,Female,요양사,2018-05-07
12,조준영,1992-12-17,Female,사회복지사,2017-12-21
13,장재훈,1997-07-07,Male,물리치료사,2012-12-18
14,서태호,1993-11-11,Female,간호사,2013-04-06
15,서아름,2010-10-19,Male,보조원,2013-02-14
16,한지현,2001-05-29,Male,보조원,2021-03-21
17,신재훈,1985-07-05,Female,물리치료사,2012-03-28
18,김지현,1973-07-21,Female,영양사,2018-06-09
19,장아름,1968-08-08,Female,물리치료사,2017-05-03
20,임하은,1973-12-16,Male,물리치료사,2014-04-11
21,장세인,1988-11-15,Male,관리자,2013-02-15
22,이은정,2000-04-04,Female,간호사,2017-09-21
23,최하은,1969-02-27,Female,보조원,2017-12-08
24,윤재훈,1997-09-05,Female,사회복지사,2015-08-20
25,이재훈,1966-03-31,Female,물리치료사,2022-05-11
26,장지우,2009-11-04,Female,간호사,2020-10-05
27,최민지,2007-03-15,Female,요양사,2013-01-06
28,신세인,1963-09-08,Male,요양사,2017-04-05
29,한세인,1976-11-18,Male,사회복지사,2017-05-19
30,장서연,1982-10-17,Female,간호사,2013-10-02
31,황민지,1998-12-22,Female,보조원,2013-03-21
32,서민호,1960-08-11,Male,영양사,2010-07-14
33,신재훈,2011-11-30,Male,간병사,2015-12-21
34,최하은,1978-01-23,Male,보조원,2017-04-23
35,장아름,1997-04-11,Female,간호사,2022-01-29
36,서서연,2013-05-11,Female,요양사,2017-06-01
37,정하은,1970-05-18,Female,보조원,2014-04-04
38,최소영,2007-04-14,Female,사회복지사,2013-01-06
39,임동욱,1983-10-30,Female,간병사,2016-01-19
40,박재훈,2003-06-03,Female,사회복지사,2013-05-29
41,최재훈,1969-08-11,Female,간호사,2011-05-08
42,한준영,1960-07-03,Male,관리자,2012-07-03
43,임영준,1985-10-30,Male,영양사,2013-03-24
44,임준호,1966-12-23,Female,간호사,2017-11-04
45,한아름,1974-11-18,Male,요양사,2020-12-31
46,양소영,2006-11-01,Male,영양사,2019-07-26
47,권세인,1994-08-28,Male,관리자,2013-11-17
48,임영준,2004-12-04,Male,관리자,2022-03-08
49,윤서연,1973-01-16,Female,요양사,2013-09-21
50,장지현,1968-05-08,Male,영양사,2017-07-14
51,황재훈,1961-04-01,Female,보조원,2020-08-27
52,김준영,1967-05-23,Male,간호사,2015-06-13
53,윤상희,1976-03-12,Female,요양사,2014-12-28
54,오수진,1980-05-31,Male,물리치료사,2017-06-04
55,장준영,2012-01-14,Male,간호사,2018-04-02
56,임소영,1997-10-25,Male,관리자,2010-11-16
57,황은정,1971-04-20,Female,요양사,2021-05-24
58,최수진,1965-04-30,Male,영양사,2014-12-31
59,조민준,1961-04-20,Male,관리자,2013-05-22
